Source,Finding ID,Type,Category,Title,Priority,Severity,Description,Status
Dashboard,codra-security-headers-missing,security,security,Missing Security Headers,P1,minor,Security headers were not detected in `netlify.toml`. It is important to add sec,open
Dashboard,codra-auth-direct-supabase-calls,logic,architecture,Direct Supabase Calls for Authentication,P0,blocker,Direct calls to Supabase for authentication operations are present in `src/lib/a,open
Dashboard,codra-plain-text-api-keys,security,security,Potential Plain Text API Keys in Code,P0,blocker,"There are potential instances of plain text API keys or secrets in the code, whi",open
Dashboard,codra-eslint-plugin-disabled,config,code quality,ESLint Plugin Codra Disabled,P1,major,"The `eslint-plugin-codra` is not enforced in the codebase, which could lead to d",open
Dashboard,codra-security-plaintext-api-keys,security,security,Plaintext API Key Storage,P0,blocker,API keys are being sent in plaintext to the server in `createCredential` and `ro,open
Dashboard,codra-security-missing-security-headers,security,security,Missing Security Headers in Deployment,P1,major,"Security headers such as `X-Frame-Options`, `X-Content-Type-Options`, and `Conte",open
Dashboard,codra-security-hardcoded-secrets,security,security,Hardcoded Secrets Detected,P0,blocker,"Potential hardcoded secrets detected in the source code, which violates the expe",open
Dashboard,codra-ux-offline-queue-logging,ux,ux,Verbose Logging in Offline Queue,P3,minor,The `OfflineQueue` class in `src/lib/api/offline-queue.ts` logs extensively to t,open
Dashboard,codra-security-no-hardcoded-secrets,security,security,Hardcoded Secrets in Source Code,P0,blocker,The source code contains potential hardcoded secrets. Strings matching patterns ,open
Dashboard,codra-auth-no-strict-mode,config,code-quality,TypeScript Strict Mode Not Enabled,P2,minor,The project uses TypeScript but strict mode is not enabled in `tsconfig.json`. E,open
Dashboard,codra-auth-no-security-headers,config,security,Missing Security Headers in Netlify Configuration,P1,minor,"Security headers such as `X-Frame-Options`, `X-Content-Type-Options`, and `Conte",open
Dashboard,codra-auth-hardcoded-secrets,security,security,Potential Hardcoded Secrets in Authenticity Detector,P0,blocker,The `authenticity-detector.ts` file contains patterns that could match hardcoded,open
Dashboard,codra-auth-no-jwt-verification,security,security,Missing JWT/Session Verification,P0,blocker,Ensure that every Netlify Function that reads or writes user data verifies the c,open
Dashboard,codra-auth-missing-jwt-verification,security,security,Missing JWT/Session Verification in AuthCallback,P0,blocker,The `AuthCallback` component handles authentication callbacks but does not verif,open
Dashboard,codra-typescript-strict-mode,config,config,TypeScript Strict Mode Not Enabled,P1,major,"The project uses TypeScript, but strict mode was not detected in `tsconfig.json`",open
Dashboard,codra-security-headers,security,security,Missing Security Headers,P1,minor,Security headers were not detected in `netlify.toml`. It is recommended to add `,open
Dashboard,codra-no-hardcoded-secrets,security,security,Hardcoded Secrets Detected,P0,blocker,"No API keys, tokens, or credentials should appear as string literals in source c",open
Dashboard,codra-cloudinary-credentials-plain-text,security,security,Cloudinary Credentials Stored in Plain Text,P0,blocker,The Cloudinary credentials are parsed from environment variables but are not enc,open
Dashboard,codra-eslint-rules-disabled,code quality,code quality,Custom ESLint Rules Disabled,P0,blocker,Custom ESLint rules from `eslint-plugin-codra` must not be disabled. Check for a,open
Dashboard,codra-react-version-check,config,config,React Version Downgrade Risk,P0,blocker,The project targets React 18. Any change to package.json that downgrades react o,open
Dashboard,codra-hardcoded-secrets,security,security,Potential Hardcoded Secrets,P0,blocker,"Check for any hardcoded API keys or tokens in the source code, as they may appea",open
Dashboard,codra-jwt-verification-missing,security,security,Missing JWT Verification,P0,blocker,Every Netlify Function that reads or writes user data must verify the caller's s,open
Dashboard,codra-api-credentials-plain-text,bug,security,API Credentials Stored in Plain Text,P0,blocker,API keys or secrets should not be stored in the database unencrypted. Confirm th,open
Dashboard,codra-netlify-functions-only,bug,architecture,Server-side Logic Outside Netlify Functions,P0,blocker,All server-side logic must reside in `netlify/functions/`. Any new server-side l,open
Dashboard,codra-strict-mode-flag,config,config,TypeScript Strict Mode Not Enabled,P1,major,"The project uses TypeScript, but strict mode was not detected in `tsconfig.json`",open
Dashboard,codra-strict-mode-missing,config,config,TypeScript Strict Mode Not Enabled,P1,major,The project uses TypeScript but strict mode was not detected in `tsconfig.json`.,open
Dashboard,codra-uses-plain-js,config,config,TypeScript Strict Mode Not Enabled,P1,major,The project uses TypeScript but strict mode is not detected in `tsconfig.json`. ,open
Dashboard,codra-jwt-verification,security,security,Missing JWT Verification,P0,blocker,Netlify Functions must verify the caller's session token before processing reque,open
Dashboard,codra-inline-completion-provider-unauthenticated,bug,logic,Inline Completion Provider Requires Authentication,P1,major,The inline completion provider requires an access token but does not handle case,open
Dashboard,codra-posthog-only-analytics,config,analytics,PostHog is the Only Approved Analytics Provider,P1,minor,Ensure that PostHog is the only analytics provider used. No other analytics SDKs,open
Dashboard,codra-jwt-session-verification-missing,security,security,Missing JWT/Session Verification,P0,blocker,The function `uploadAsset` in `src/lib/assets/upload.ts` reads user data without,open
Dashboard,codra-eslint-plugin-codra-disabled,code-quality,code-quality,Custom ESLint Rules Disabled,P0,blocker,The project should not disable custom ESLint rules from `eslint-plugin-codra` as,open
