Project,Priority,Category,Title,Finding ID,Description,Risk Level
Relevnt,P1,migration-gap,market_snapshots table referenced in code but no migration exists,MIGRATION-GAP-001,netlify/functions/jobs/marketSnapshotGenerator.ts:331 attempts to write to public.market_snapshots. No migration creating this table exists in supabase/migrations/. Every write silently fails.,HIGH
Relevnt,P1,migration-gap,admin_config table referenced in code but no migration exists,MIGRATION-GAP-002,netlify/functions/admin/admin_config.ts reads and writes to public.admin_config on every GET and POST request. No migration for this table exists.,HIGH
Relevnt,P1,migration-gap,signal_classifications table referenced in code but no migration exists,MIGRATION-GAP-003,netlify/functions/jobs/jobClassifier.ts:163 writes classification results to public.signal_classifications. No migration for this table exists; every result is silently dropped.,HIGH
Relevnt,P1,migration-gap,cache_invalidation_log table referenced in code but no migration exists,MIGRATION-GAP-004,netlify/functions/utils/cacheInvalidation.ts:161 and netlify/functions/jobs/get_matched_jobs.ts:132 reference public.cache_invalidation_log. No migration for this table exists.,HIGH
Relevnt,P1,constraint-violation,Conflicting auto_apply_queue status CHECK constraints across migrations can make valid states invalid,data-constraint-violation-001,"Multiple migrations added CHECK constraints on auto_apply_queue.status with non-overlapping allowed values. The baseline allows 'pending','processing','completed','failed','cancelled'; later migrations add 'paused','retry_scheduled','expired'. Environments that applied the baseline first may reject later status values at write time.",HIGH
Relevnt,P1,missing-rls,provider_health and ats_detection_cache still only defined in netlify/functions/migrations without RLS,data-missing-rls-001,"Migration 20260305180000 fixed auto_apply_queue and resume_versions_history (MISSING-RLS-001 and MISSING-RLS-002 are now fixed_verified). Migration 20260305220000 created cache_invalidation_log, market_snapshots, admin_config, and signal_classifications in supabase/migrations with RLS. However, provider_health and ats_detection_cache remain defined only in netlify/functions/migrations/20260206_add_shared_state_tables.sql without ENABLE ROW LEVEL SECURITY or any RLS policies. The netlify/functions track is not managed by supabase migrations, so these tables may exist in production without RLS.",HIGH
Relevnt,P1,schema-mismatch,"cover_letters app contract expects resume_id, job_description, company_name columns absent from canonical schema",data-schema-mismatch-001,"Frontend hook/component/types use cover_letters fields resume_id, job_description, and company_name, but the canonical table definition in the baseline migration includes only id, user_id, application_id, job_id, title, content, ai_generated, template_used, created_at, updated_at. Migration 20260225213100 adds a conditional FK for resume_id if the column exists, confirming the column is not universally present. No fix migration has been added since the prior audit.",HIGH
Relevnt,P1,type-drift,Four tables added by 20260305220000 absent from src/types/supabase.ts,data-type-drift-002,"Migration 20260305220000_create_missing_shared_tables.sql creates market_snapshots, admin_config, signal_classifications, and cache_invalidation_log with full column definitions. None of these tables appear in src/types/supabase.ts. Code that writes to or reads from these tables bypasses TypeScript type safety entirely, requiring unsafe casts or any types.",HIGH
Relevnt,P1,cache-miss,"useMatchedJobs: custom useState+useEffect pattern bypasses React Query caching, re-fetches on every mount",f-134a36fe,"src/hooks/useMatchedJobs.ts manages server state with local useState and useEffect (lines 85-217) rather than using the React Query instance (useQuery) that is already in scope in the rest of the app (e.g., useJobs.ts uses @tanstack/react-query). Every time a component mounting useMatchedJobs re-renders or navigates away and back, fetchMatches() fires a full HTTP request to /.netlify/functions/get_matched_jobs. There is no stale-time, no background refetch deduplication, no cache key, and no in-flight deduplication. JobsPage.tsx shows that useMatchedJobs is called on the main jobs view (line 172), meaning every page visit triggers a network call to a relatively expensive function (get_matched_jobs loads up to 500 jobs and scores them).",HIGH
Relevnt,P1,n-plus-one,job_alerts: N+1 profile aggregation — aggregateUserProfile fires 4 DB queries per user in a serial loop,f-22f320f0,"netlify/functions/job_alerts.ts iterates over all users who have job alerts enabled (line 55: for (const user of users)) and calls aggregateUserProfile(supabase, user.id) for each one (line 58). aggregateUserProfile (src/lib/scoring/profileAggregator.ts line 318) runs 4 parallel queries per user: user_professional_profiles, job_preferences, resumes, and persona_preferences. These 4 queries are parallel within a user but the outer loop is serial — so for N users the function makes at least 4*N DB round-trips in series. There is no batching across users.",HIGH
Relevnt,P1,migration-gap,"Shared-state SQL lives under netlify/functions/migrations, not supabase/migrations",f-386a63e6,"Project expectation 3.2 requires new Supabase migrations in supabase/migrations/. The ARCH-003/004/012 shared-state script is at netlify/functions/migrations/20260206_add_shared_state_tables.sql. If this is the canonical migration path for production, it violates the documented rule; if it is only a manual SQL Editor helper, document that to avoid operator applying the wrong file.",HIGH
Relevnt,P1,schema-violation,Schema violation in schema-auditor: missing required run_metadata object,f-3ba1de43,Agent output at `audits/runs/2026-03-05/data-20260305-193600.json` violates LYRA schema v1.1.0: missing required run_metadata object.,HIGH
Relevnt,P1,n-plus-one,daily_summaries: full table scan on analytics_events — SELECT * with no LIMIT loads full day into memory,f-47b3cbec,"netlify/functions/daily_summaries.ts fetches every row from analytics_events for a 24-hour window using .select('*') with no row limit. All matching rows are pulled into the Netlify function's Node.js heap, then reduced with in-process JavaScript. On a busy day the analytics_events table could have tens of thousands of rows — each containing a full JSONB properties column. This causes: (1) high DB transfer cost, (2) elevated memory in the function, (3) slow cold starts for a scheduled function that runs every 24 hours. The aggregation (DAU, event counts per feature) is trivial SQL that the database can compute orders of magnitude faster. Additionally, there is no idempotency guard, so re-invocations on the same day insert duplicate rows into analytics_daily_summaries (see related finding f-b1c8c1a4).",HIGH
Relevnt,P1,schema-violation,Schema violation in runtime-bug-hunter: missing required run_metadata object,f-60ee7aca,Agent output at `audits/runs/2026-03-05/logic-20260305-200312.json` violates LYRA schema v1.1.0: missing required run_metadata object.,HIGH
Relevnt,P1,schema-violation,Schema violation in security-and-privacy-auditor: history[1].event invalid enum: fixed; type invalid enum: vulnerability; sev,f-7d6ff6be,Agent output at `audits/runs/2026-03-05/security-20260305-192025.json` violates LYRA schema v1.1.0: history[1].event invalid enum: fixed; type invalid enum: vulnerability; severity invalid enum: medium; status invalid enum: fixed.,HIGH
Relevnt,P1,cache-miss,JobsPage: source-slug filter options re-fetched from DB on every mount with no caching,f-844d3b5f,src/pages/JobsPage.tsx contains a useEffect (lines 149-165) that runs on mount to populate the source filter dropdown. It queries supabase.from('jobs').select('source_slug').not(...).limit(1000) — loading up to 1000 rows on every page visit. The result (a list of unique source slugs) is stored only in local component state and is discarded on unmount. The source slug list is essentially static metadata that rarely changes (new sources are added infrequently). Fetching it on every visit wastes DB quota and adds ~100-300ms to the perceived filter availability.,HIGH
Relevnt,P1,n-plus-one,build_auto_apply_queue: N+1 — user_personas queried individually per rule inside a serial for loop,f-9c7dc333,"netlify/functions/build_auto_apply_queue.ts processes auto-apply rules in a for...of loop (line 169). Inside each iteration, if rule.persona_id is set, it issues an individual SELECT to user_personas for that persona (lines 175-186). If a user has N rules with distinct persona_ids, this fires N sequential DB round-trips. The rules array is loaded in one batch (line 85-89), so all persona IDs are known upfront — a single .in('id', personaIds) query before the loop would reduce N queries to 1.",HIGH
Relevnt,P1,auth-bypass,ingest_jobs handler has no authentication gate; any caller can trigger source-level ingestion,f-a053d9a2,"The handler in ingest_jobs.ts (line 3547) accepts any incoming HTTP request and calls runIngestion(requestedSlug) without validating any credential, API key, JWT, or CSRF token. An unauthenticated attacker can trigger single-source ingestion (e.g., GET /.netlify/functions/ingest_jobs?source=adzuna_us), consuming paid API quotas for Adzuna, Jooble, CareerJet, WhatJobs, Reed UK, and other sources. Violates expectations section 2.1.",HIGH
Relevnt,P1,schema-violation,Schema violation in schema-auditor: missing history; history must have at least one event; type invalid enum: v,f-cafeec5b,Agent output at `audits/runs/2026-03-05/data-20260305-193600.json` violates LYRA schema v1.1.0: missing history; history must have at least one event; type invalid enum: vulnerability; severity invalid enum: high.,HIGH
Relevnt,P1,schema-violation,Schema violation in security-and-privacy-auditor: type invalid enum: informational; severity invalid enum: info,f-cea5b186,Agent output at `audits/runs/2026-03-05/security-20260305-192025.json` violates LYRA schema v1.1.0: type invalid enum: informational; severity invalid enum: info.,HIGH
Relevnt,P1,type-drift,match_jobs.ts references undefined UserMatchPreferences type,f-data-match-prefs-type-001,"netlify/functions/match_jobs.ts line 123 defines async function loadUserMatchPreferences() with return type UserMatchPreferences, but this type is never imported or defined in the file. Line 126 uses it, lines 152 returns typed object. Type checking should fail.",HIGH
Relevnt,P1,a11y-gap,"Form labels not programmatically associated with controls in Select.tsx, Textarea.tsx, FieldBlock.tsx, AddApplicationModal, and all ResumeBuilder item cards",f-ux-a11y-gap-001,"Multiple form components render <label> elements that are visually positioned above their controls but have no programmatic association via htmlFor/id. Affected: Select.tsx (label is a sibling div with no htmlFor), Textarea.tsx (label is a sibling with no htmlFor/id), FieldBlock.tsx (accepts an id prop but never passes it to htmlFor on the rendered label), AddApplicationModal and QuickLogApplicationModal (label and input are div siblings with no linking), and all ResumeBuilder item cards (ContactSection, ExperienceItemCard, EducationItemCard, ProjectItemCard, SkillsSection, CertificationsSection) which use a shared labelClass div as a sibling to inputs. The design system Input.tsx has a correct implementation using React.useId() that these components do not follow.",HIGH
Relevnt,P1,a11y-gap,LoadingState and LoadingSpinner have no role='status' or aria-live — screen readers will not announce loading states,f-ux-a11y-gap-002,"LoadingState.tsx (the primary loading component used in DashboardPage, JobsPage, App.tsx, AuthGuard, TargetManagement, and more) renders a spinner and optional text message with no ARIA live region. Screen readers will not announce when loading starts or completes. The same gap exists in Spinner.tsx (legacy secondary spinner). Contrast: Toast.tsx in the same codebase correctly uses role='status' and aria-live='polite' as the model to follow.",HIGH
Relevnt,P1,a11y-gap,"AddApplicationModal and QuickLogApplicationModal use raw overlay divs — missing role='dialog', aria-modal, and focus trap",f-ux-a11y-gap-003,"AddApplicationModal.tsx and QuickLogApplicationModal.tsx implement their own modal overlay using raw Tailwind div elements without role='dialog', aria-modal='true', aria-labelledby, or a focus trap. The design system Modal.tsx (used by other modals in the app) has all of these — role='dialog', aria-modal='true', aria-labelledby, Escape key support, and focus restoration on close. The two application modals bypass Modal.tsx entirely, creating a two-tier accessibility quality: feature modals are inaccessible, generic modals are not.",HIGH
Relevnt,P1,broken-flow,15+ destructive and confirmatory actions use native window.confirm() / alert() instead of the existing branded ConfirmDialog and Toast components,f-ux-broken-flow-001,"The app uses native browser window.confirm() for destructive confirmations (delete, discard, permanent removal) and alert() for feature-availability notices across at least 6 files: TrashPage, DocumentsTrashPage, AddApplicationModal, QuickApplyModal, AdminDashboard, and ResumeExport. The branded ConfirmDialog and useToast components exist in the design system and are already used elsewhere. Specific strings exposed via native dialogs include: 'Permanently delete ""${position}""? This cannot be undone.', 'You have unsaved changes. Close the modal? Your draft will stay saved.', 'Discard this draft? This will clear any saved fields.', 'This job was posted N days ago. Open the listing to verify it\'s still active?', 'DOCX export coming soon! Use PDF for now.', and 'No resume content found. Please upload a resume first.'",HIGH
Relevnt,P1,copy-mismatch,Two competing copy stores (src/lib/copy.ts and src/config/i18n.config.ts) with overlapping keys and divergent wording,f-ux-copy-mismatch-001,"The codebase has two separate copy stores. src/lib/copy.ts is the primary, more complete store (sections: brand, nav, onboarding, dashboard, jobs, applications, resumes, voice, personas, profile, settings, learn, transparency, upgrade, errors, success, confirmations, actions, emptyStates, pricing, ethics). src/config/i18n.config.ts is an older secondary store with overlapping key paths (emptyState.noJobs, error messages, nav labels, toast messages) but different wording. Different components import from different files with no central enforcement. i18n.config.ts also contains unique keys not in copy.ts: eduPromo, marketing, trust.",HIGH
Relevnt,P1,missing-error-boundary,No section-level error boundaries — a single component error anywhere crashes the entire page to the root recovery UI,f-ux-missing-boundary-001,"The codebase has exactly two ErrorBoundary instances: one in main.tsx (outermost) and one in App.tsx wrapping AppInner. There are no granular boundaries around individual feature sections: job feed, resume builder, dashboard widgets, application list, or target management panel. A JavaScript render error in any of these sections will bubble all the way to the root ErrorBoundary, showing the generic 'Something went wrong — Try again / Go to Dashboard' UI and losing all user state across the entire app. The ErrorBoundary component is well-built and supports a custom fallback prop — it simply is not deployed at the section level.",HIGH
Relevnt,P1,missing-state,ApplicationsPage shows blank content when filter returns zero results and has no error state on data load failure,f-ux-missing-state-001,"ApplicationsPage filters applications by status using FILTER_OPTIONS tabs (all, applied, reviewing, interviewing, in review, offers, accepted, rejected). When a selected filter returns zero matching applications, the list silently goes empty — there is no EmptyState component, no illustration, and no suggested next action. Additionally, the useApplications hook error value is not surfaced in the UI; confirmed 'No explicit error UI' exists for this page. Both gaps leave users unable to distinguish between no-results and a failure state.",HIGH
