Domain,Rule ID,Constraint,Severity,Rationale
Language & Runtime,1.1,TypeScript strict mode,critical,code quality & type safety
Language & Runtime,1.2,React 18+,critical,dependency management
Language & Runtime,1.3,Vite build,critical,build tooling locked in
Language & Runtime,1.4,Node 20 for Netlify Functions,warning,runtime compatibility
Backend Architecture,2.1,Serverless backend in netlify/functions/ only,critical,no standalone servers
Backend Architecture,2.2,All AI calls through AIRouter abstraction,critical,provider abstraction enforced
Backend Architecture,2.3,Stripe billing in Netlify Functions only,critical,no client-side billing
Backend Architecture,2.4,JWT verification before authenticated requests,critical,auth enforcement
Database,3.1,Supabase (PostgreSQL) as primary database,critical,db engine locked
Database,3.2,RLS must be enabled on all tables,critical,data access control
Security,4.1,API credentials stored encrypted,critical,secrets protection
Security,4.2,Security headers not weakened,critical,"CSP, X-Frame, HSTS enforcement"
Security,4.3,No hardcoded secrets,critical,secret scanning
Analytics,5.1,posthog-js only analytics provider,warning,no analytics sprawl
Code Quality,6.1,Custom ESLint rules not disabled,warning,linting enforcement
Code Quality,6.2,Storybook coverage for new UI components,suggestion,component docs
